Stage;Max_abnormal(2nd loop);Min_abnormal(52nd loop);Abnormal(5th loop);Abnormal(36th loop);Time_Difference(Max-Min)
DFU Mode: Restore;3.4516;3.3569;3.8873;3.6244;0.0947
DFU Mode: Transitioning;3.0064;3.0932;3.1868;3.0886;-0.0868
Recovery: Restore;8.5648;8.6592;12.3034;45.6884;-0.0944
Recovery: Transitioning;62.4245;61.1256;94.5576;61.6057;1.2989
RestoreOS: Restore;2666.5478;2410.7273;2508.9939;2455.3162;255.8205
RestoreOS: Transitioning;141.235;140.9067;142.6277;144.4208;0.3283
Total Restore Time;2885.23;2627.869;2765.557;2713.744;257.361
RestoreOS: Restore: umask;0.0002;0.0;0.0001;0.0001;0.0002
RestoreOS: Restore: setvbuf;0.0;0.0;0.0;0.0;0.0
RestoreOS: Restore: set_progress_0;0.0001;0.0;0.0001;0.0001;0.0001
RestoreOS: Restore: disable_app_firewall;0.0;0.0;0.0001;0.0001;0.0
RestoreOS: Restore: listen_for_log_client;0.0;0.0;0.0;0.0;0.0
RestoreOS: Restore: create_listen_socket;0.0001;0.0;0.0001;0.0001;0.0001
RestoreOS: Restore: enable_debugger;0.0;0.0;0.0;0.0;0.0
RestoreOS: Restore: update_root_mount;0.0001;0.0;0.0001;0.0;0.0001
RestoreOS: Restore: disable_watchdog;0.0;0.0;0.0;0.0;0.0
RestoreOS: Restore: usbcretimer_dfucheck;0.0001;0.0;0.0001;0.0001;0.0001
RestoreOS: Restore: enable_usb;0.0;0.0;0.0;0.0;0.0
RestoreOS: Restore: config_network_interface;0.0001;0.0;0.0001;0.0001;0.0001
RestoreOS: Restore: client_protocol_version;0.0078;0.0;0.0083;0.0081;0.0078
RestoreOS: Restore: copy_restore_options;0.2679;0.0013;0.2676;0.2691;0.2666
RestoreOS: Restore: wait_for_debugger;0.0065;0.0;0.0064;0.0062;0.0065
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0067;0.0;0.0068;0.0069;0.0067
RestoreOS: Restore: network_config_enforce;0.0066;0.0;0.0063;0.0064;0.0066
RestoreOS: Restore: is_host_compatible;0.0117;0.0;0.0117;0.0117;0.0117
RestoreOS: Restore: set_weight_from_options;0.0083999999999999;0.0;0.0082;0.0083;0.0084
RestoreOS: Restore: libauthinstall_callback;0.0089999999999999;0.0;0.0089999999999999;0.0091;0.009
RestoreOS: Restore: set_device_time;0.0233;0.0001;0.0235;0.0232;0.0232
RestoreOS: Restore: set_display_options;0.0066;0.0;0.0066;0.0065;0.0066
RestoreOS: Restore: check_for_untethered;0.0066;0.0;0.0066;0.0066;0.0066
RestoreOS: Restore: check_battery_voltage;0.0112;0.0;0.0112;0.0112;0.0112
RestoreOS: Restore: check_battery_capacity;0.0103;0.0;0.0103;0.0104;0.0103
RestoreOS: Restore: update_macos_ticket;0.0225;0.0;0.0223;0.0225;0.0225
RestoreOS: Restore: update_ticket;0.0186;0.0;0.0186;0.0184;0.0186
RestoreOS: Restore: wait_for_storage;0.0451;0.0266;0.0494;0.0496;0.0185
RestoreOS: Restore: update_NAND_firmware;8.9666;8.9562;8.9617;8.9539;0.0104
RestoreOS: Restore: clear_remap_variable;0.0112;0.0113;0.0109;0.0108;-0.0001
RestoreOS: Restore: print_nvram_variables;0.0977;0.0079;0.0978;0.0974;0.0898
RestoreOS: Restore: asp_nand_set_writable;0.0074;0.0023;0.0074;0.0074;0.0051
RestoreOS: Restore: find_filesystem_partitions;0.1105;0.5336;0.057;0.0611;-0.4231
RestoreOS: Restore: verify_storage_for_update;0.007;0.0071;0.0069;0.0069;-0.0001
RestoreOS: Restore: load_sep_os;2.9264;2.9273;2.904;3.1016;-0.0009
RestoreOS: Restore: preload_keys_for_fsck;0.0092;0.0095;0.0094;0.0092999999999999;-0.0003
RestoreOS: Restore: fsck_filesystems;0.0144;0.0156;0.0154;0.0157;-0.0012
RestoreOS: Restore: mount_system_partition;0.7702;1.1017;0.868;1.0789;-0.3315
RestoreOS: Restore: fix_cache_delete;0.0075;0.0072;0.0076;0.0075;0.0003
RestoreOS: Restore: clean_update_volume;0.0066;0.0064;0.0066;0.0066;0.0002
RestoreOS: Restore: space_checks;0.0074;0.0072;0.0075;0.0073;0.0002
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0078;0.0079;0.0076;0.0078;-0.0001
RestoreOS: Restore: read_previous_os_build_version;0.0069;0.007;0.0069;0.0069;-0.0001
RestoreOS: Restore: downgrade_check;0.0064;0.0064;0.0063;0.0064;0.0
RestoreOS: Restore: avoid_nonui_ui_update;0.0066;0.0066;0.0067;0.0066;0.0
RestoreOS: Restore: copy_hardware_info;0.007;0.0069;0.007;0.007;0.0001
RestoreOS: Restore: fdr_create;2.0088;2.0054;2.0091;32.7888;0.0034
RestoreOS: Restore: fdr_save_data;0.0092;0.0101;0.0101;0.0109;-0.0009
RestoreOS: Restore: sep_attest_qa;0.0073;0.0073;0.0074;0.0092;0.0
RestoreOS: Restore: certify_sep;0.0072;0.0071;0.007;0.0074;0.0001
RestoreOS: Restore: syscfg_presubmit_fdr;0.0083;0.0083;0.0083999999999999;0.0086;0.0
RestoreOS: Restore: check_for_restore_log;0.0085;0.0085;0.0086;0.0092;0.0
RestoreOS: Restore: check_for_uncollected_logs;0.0078;0.0078;0.0077;0.0083;0.0
RestoreOS: Restore: read_persistent_files;0.6924;0.6949;0.6946;0.6943;-0.0025
RestoreOS: Restore: unmount_unconditionally;0.0309;0.0322;0.0325;0.0328;-0.0013
RestoreOS: Restore: clean_nand;2.9306;2.8373;2.9939;2.8678;0.0933
RestoreOS: Restore: clear_nvram;0.0058;0.0086999999999999;0.0081;0.0056;-0.0029
RestoreOS: Restore: clear_bootpolicy_nvram;0.0229;0.0228;0.0228;0.0226;0.0001
RestoreOS: Restore: format_effaceable_storage;0.01;0.0099;0.0099;0.01;0.0001
RestoreOS: Restore: format_ean_storage;0.015;0.0149;0.015;0.0149;0.0001
RestoreOS: Restore: create_filesystem_partitions;0.0632;0.0634;0.0633;0.065;-0.0002
RestoreOS: Restore: update_partitions_for_apfs;0.0145;0.0145;0.0145;0.0146;0.0
RestoreOS: Restore: reload_filesystem_partitions;0.029;0.0314;0.0317;0.0315;-0.0024
RestoreOS: Restore: format_media;8.7059;8.7416;8.7272;8.6984;-0.0357
RestoreOS: Restore: find_volumes_after_format;0.0515;0.0531;0.0536;0.0539;-0.0016
RestoreOS: Restore: provision_mesa;0.0105;0.0104;0.0104;0.0105;0.0001
RestoreOS: Restore: prepare_for_system_image;2.5181;2.5124;2.535;2.5277;0.0057
RestoreOS: Restore: init_gigalocker;1.5416;1.5502;1.5391;1.5295;-0.0086
RestoreOS: Restore: init_permanent_update_volume;1.4881;1.5122;1.4889;1.4929;-0.0241
RestoreOS: Restore: mount_filesystem;2.002;2.0144;2.0053;1.9996;-0.0124
RestoreOS: Restore: restore_system_image;0.0107;0.0109;0.0109;0.0109;-0.0002
RestoreOS: Restore: write_persistent_files;0.0463;0.0488;0.0468;0.0462;-0.0025
RestoreOS: Restore: perform_short_prepare;0.0083999999999999;0.0066;0.0083;0.0083;0.0018
RestoreOS: Restore: fdr_restore_saved_data;0.0348;0.015;0.0343;0.0346;0.0198
RestoreOS: Restore: write_factory_version_plist;0.0119;0.0032;0.0112;0.0118;0.0087
RestoreOS: Restore: update_aht;0.1417;0.1435;0.1436;0.1419;-0.0018
RestoreOS: Restore: fdr_prepare;0.0154;0.016;0.0159;0.0158;-0.0006
RestoreOS: Restore: install_stage1_firmware;0.0077;0.0077;0.0079;0.0079;0.0
RestoreOS: Restore: aru_migrate_data;0.0092999999999999;0.0095;0.0094;0.0092999999999999;-0.0002
RestoreOS: Restore: await_provisioning_mesa;0.0119;0.0119;0.0119;0.012;0.0
RestoreOS: Restore: fdr_recover;13.0589;13.044;80.0392;13.094;0.0149
RestoreOS: Restore: fdr_auto_challenge_claim;0.0085;0.0097;0.0111;0.0088;-0.0012
RestoreOS: Restore: send_provisioning_info;0.0089999999999999;0.0082;0.0092999999999999;0.0092999999999999;0.0008
RestoreOS: Restore: certify_lynx;0.1764;0.1756;0.1787;0.1795;0.0008
RestoreOS: Restore: write_0cfg;0.0573;0.0552;0.0559;0.0571;0.0021
RestoreOS: Restore: update_veridian;0.6718;0.6801;0.689;0.6765;-0.0083
RestoreOS: Restore: update_iBoot;10.4917;10.4836;10.4438;10.5235;0.0081
RestoreOS: Restore: update_ean;0.4577;0.4528;0.6192;0.4754;0.0049
RestoreOS: Restore: update_stockholm;0.0301;0.0296;0.0273;0.0317;0.0005
RestoreOS: Restore: update_rose;0.0169;0.0175;0.0155;0.0189;-0.0006
RestoreOS: Restore: update_se;0.0227;0.0226;0.0198;0.0206;0.0001
RestoreOS: Restore: update_tcon;0.0118;0.0147;0.0123;0.0125;-0.0029
RestoreOS: Restore: update_appletcon;0.013;0.0168;0.0128;0.013;-0.0038
RestoreOS: Restore: update_orion;0.0115;0.0158;0.0168;0.0169;-0.0043
RestoreOS: Restore: update_madea;0.0128;0.0125;0.0142;0.0111;0.0003
RestoreOS: Restore: update_peppy;0.0113;0.0111;0.0107;0.0091;0.0002
RestoreOS: Restore: update_nitrogen;0.0132;0.013;0.0138;0.0123;0.0002
RestoreOS: Restore: update_usbc;0.0121;0.0126;0.0097;0.0128;-0.0005
RestoreOS: Restore: update_centauri;21.029;20.3411;19.485;19.4685;0.6879
RestoreOS: Restore: await_update_tcon;0.0302;0.0311;0.0288;0.0311;-0.0009
RestoreOS: Restore: await_update_appletcon;0.0135;0.0131;0.013;0.0135;0.0004
RestoreOS: Restore: await_update_orion;0.0122;0.0134;0.0134;0.0129;-0.0012
RestoreOS: Restore: await_update_peppy;0.0116;0.012;0.0144;0.0126;-0.0004
RestoreOS: Restore: await_update_nitrogen;0.0143;0.0132;0.0128;0.0138;0.0011
RestoreOS: Restore: await_update_usbc;0.0119;0.0132;0.0138;0.0115;-0.0013
RestoreOS: Restore: update_ace3;11.2079;11.0183;11.1366;11.1965;0.1896
RestoreOS: Restore: update_usbcretimer;103.1946;103.2165;103.3037;103.1502;-0.0219
RestoreOS: Restore: update_PFX;0.0704;0.0685999999999999;0.0704;0.0702;0.0018
RestoreOS: Restore: update_PS190;78.2533;78.3059;78.2992;78.2975;-0.0526
RestoreOS: Restore: await_update_stockholm;0.0127;0.0133;0.0143;0.0134;-0.0006
RestoreOS: Restore: await_update_rose;0.0127;0.0133;0.0116;0.0132;-0.0006
RestoreOS: Restore: await_update_se;0.0123;0.0125;0.0139;0.0113;-0.0002
RestoreOS: Restore: await_update_update_veridian;0.0153;0.0131;0.0127;0.0114;0.0022
RestoreOS: Restore: update_device_firmware;0.036;0.0365;0.0353;0.0359;-0.0005
RestoreOS: Restore: certify_yonkers;0.0109;0.0089;0.0111;0.0109;0.002
RestoreOS: Restore: aru_pre_seal_tasks;0.0261;0.0289;0.0287;0.0289;-0.0028
RestoreOS: Restore: dotara_lock;0.0072;0.0073;0.0069;0.0066;-0.0001
RestoreOS: Restore: update_syscfg;7.7834;7.7819;5.7081;5.7648;0.0015
RestoreOS: Restore: submit_provinfo;0.0097;0.0088;0.0094;0.0089999999999999;0.0009
RestoreOS: Restore: verify_fdr_data;6.9143;6.901;6.8805;6.9137;0.0133
RestoreOS: Restore: update_rose_postseal;0.0737;0.0761;0.0728;0.0726;-0.0024
RestoreOS: Restore: stage_fdr_ean;0.049;0.0492;0.05;0.0515;-0.0002
RestoreOS: Restore: ensure_fdr_ean;0.044;0.0427;0.0422;0.0416;0.0013
RestoreOS: Restore: update_fdr_ean;1.0404;1.0365;1.0084;1.0281;0.0039
RestoreOS: Restore: update_fillmore;0.0111;0.0089;0.0116;0.0111;0.0022
RestoreOS: Restore: fdr_verify_sealed_manifest;0.0115;0.012;0.0103;0.0114;-0.0005
RestoreOS: Restore: commit_sep_os;4.1014;4.095;4.0891;4.0932;0.0064
RestoreOS: Restore: run_sep_eeprom_test;23.0271;22.8501;22.8128;22.9528;0.177
RestoreOS: Restore: pair_stockholm;0.0083;0.0091;0.0112;0.0086999999999999;-0.0008
RestoreOS: Restore: verify_se_pairing;0.0077;0.008;0.007;0.0116;-0.0003
RestoreOS: Restore: await_system_image_invert_retry;1017.9934;1013.4797;954.6033;1022.0216;4.5137
RestoreOS: Restore: create_protected_filesystems;5.6573;5.5911;5.6694;5.678;0.0662
RestoreOS: Restore: create_volume_group;0.036;0.0389;0.0369;0.0368;-0.0029
RestoreOS: Restore: reserve_overprov_space;0.0094;0.0094;0.0095;0.0094;0.0
RestoreOS: Restore: install_regulatory_images;0.998;1.0036;1.0025;1.0018;-0.0056
RestoreOS: Restore: read_new_os_build_version;0.0193;0.0195;0.02;0.0197;-0.0002
RestoreOS: Restore: install_splat;0.0228;0.0247;0.0226;0.0223;-0.0019
RestoreOS: Restore: install_root;0.0073;0.0073;0.0073;0.0073;0.0
RestoreOS: Restore: install_overlay_roots;0.1104;0.1101;0.1105;0.1111;0.0003
RestoreOS: Restore: install_splat_overlay_roots;0.0143;0.0146;0.0148;0.0147;-0.0003
RestoreOS: Restore: install_regulatory_images_root;0.0144;0.0142;0.0143;0.0143;0.0002
RestoreOS: Restore: install_update_volume_root;0.0112;0.0113;0.0113;0.0115;-0.0001
RestoreOS: Restore: restored_fixup_system;581.6846;576.0214;580.374;583.281;5.6632
RestoreOS: Restore: write_ticket;0.0355;0.0363;0.0365;0.0366;-0.0008
RestoreOS: Restore: fixup_var;0.8236;0.8333;0.8319;0.83;-0.0097
RestoreOS: Restore: create_partition_mountpoints;0.0239;0.0238;0.0242;0.0241;0.0001
RestoreOS: Restore: factory_restore_marker;0.0116;0.0116;0.0117;0.0115;0.0
RestoreOS: Restore: factory_ucrt;227.4179;6.1446;85.6776;7.1944;221.2733
RestoreOS: Restore: factory_mac_check_flag;0.0122;0.0121;0.0123;0.0122;0.0001
RestoreOS: Restore: aru_post_seal_tasks;0.0211;0.0213;0.0214;0.0213;-0.0002
RestoreOS: Restore: factory_sad_config;0.0117;0.0114;0.0114;0.0111;0.0003
RestoreOS: Restore: create_production_ucrt;0.0118;0.0117;0.0118;0.0117;0.0001
RestoreOS: Restore: create_production_dcrt;0.0104;0.0102;0.0104;0.0105;0.0002
RestoreOS: Restore: store_device_time;0.0192;0.0194;0.0198;0.0196;-0.0002
RestoreOS: Restore: attest_restore;37.4009;37.3891;37.4089;37.4054;0.0118
RestoreOS: Restore: set_one_time_boot_command;0.0125;0.0126;0.0126;0.0129;-0.0001
