Stage;Max(12th loop);Min_abnormal(11th loop);Time_Difference(Max-Min)
DFU Mode: Restore;3.2352;3.2432;-0.008
DFU Mode: Transitioning;3.2429;3.2445;-0.0016
Recovery: Restore;8.6123;8.5358;0.0765
Recovery: Transitioning;62.2806;61.828;0.4526
RestoreOS: Restore;2425.7023;2412.9565;12.7458
RestoreOS: Transitioning;144.5866;145.1002;-0.5136
Total Restore Time;2647.66;2634.908;12.752
RestoreOS: Restore: umask;0.0001;0.0001;0.0
RestoreOS: Restore: setvbuf;0.0;0.0;0.0
RestoreOS: Restore: set_progress_0;0.0001;0.0;0.0001
RestoreOS: Restore: disable_app_firewall;0.0001;0.0001;0.0
RestoreOS: Restore: listen_for_log_client;0.0;0.0;0.0
RestoreOS: Restore: create_listen_socket;0.0;0.0001;-0.0001
RestoreOS: Restore: enable_debugger;0.0;0.0;0.0
RestoreOS: Restore: update_root_mount;0.0001;0.0001;0.0
RestoreOS: Restore: disable_watchdog;0.0;0.0;0.0
RestoreOS: Restore: usbcretimer_dfucheck;0.0001;0.0;0.0001
RestoreOS: Restore: enable_usb;0.0;0.0;0.0
RestoreOS: Restore: config_network_interface;0.0;0.0001;-0.0001
RestoreOS: Restore: client_protocol_version;0.0082;0.0079;0.0003
RestoreOS: Restore: copy_restore_options;0.2701;0.2685;0.0016
RestoreOS: Restore: wait_for_debugger;0.0065;0.0064;0.0001
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0067;0.0067;0.0
RestoreOS: Restore: network_config_enforce;0.0066;0.0065;0.0001
RestoreOS: Restore: is_host_compatible;0.0118;0.0117;0.0001
RestoreOS: Restore: set_weight_from_options;0.0083;0.0083;0.0
RestoreOS: Restore: libauthinstall_callback;0.0091;0.0091;0.0
RestoreOS: Restore: set_device_time;0.0232;0.0234;-0.0002
RestoreOS: Restore: set_display_options;0.0064;0.0066;-0.0002
RestoreOS: Restore: check_for_untethered;0.0066;0.0064;0.0002
RestoreOS: Restore: check_battery_voltage;0.0113;0.0112;0.0001
RestoreOS: Restore: check_battery_capacity;0.0104;0.0104;0.0
RestoreOS: Restore: update_macos_ticket;0.0224;0.0221;0.0003
RestoreOS: Restore: update_ticket;0.0186;0.0184;0.0002
RestoreOS: Restore: wait_for_storage;0.0465;0.0491;-0.0026
RestoreOS: Restore: update_NAND_firmware;8.962;8.9536;0.0084
RestoreOS: Restore: clear_remap_variable;0.0039;0.011;-0.0071
RestoreOS: Restore: print_nvram_variables;0.0047;0.0638;-0.0591
RestoreOS: Restore: asp_nand_set_writable;0.0023;0.0074;-0.0051
RestoreOS: Restore: find_filesystem_partitions;0.1612;0.0616;0.0996
RestoreOS: Restore: verify_storage_for_update;0.007;0.007;0.0
RestoreOS: Restore: load_sep_os;2.9209;2.9859;-0.065
RestoreOS: Restore: preload_keys_for_fsck;0.0095999999999999;0.0092;0.0004
RestoreOS: Restore: fsck_filesystems;0.0154;0.0158;-0.0004
RestoreOS: Restore: mount_system_partition;0.8644;1.0932;-0.2288
RestoreOS: Restore: fix_cache_delete;0.0074;0.0073;0.0001
RestoreOS: Restore: clean_update_volume;0.0066;0.0066;0.0
RestoreOS: Restore: space_checks;0.0073;0.0074;-0.0001
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0077;0.0076;0.0001
RestoreOS: Restore: read_previous_os_build_version;0.0069;0.0069;0.0
RestoreOS: Restore: downgrade_check;0.0063;0.0064;-0.0001
RestoreOS: Restore: avoid_nonui_ui_update;0.0066;0.0066;0.0
RestoreOS: Restore: copy_hardware_info;0.007;0.007;0.0
RestoreOS: Restore: fdr_create;2.0127;2.0191;-0.0064
RestoreOS: Restore: fdr_save_data;0.0097;0.0099;-0.0002
RestoreOS: Restore: sep_attest_qa;0.0072;0.0073;-0.0001
RestoreOS: Restore: certify_sep;0.007;0.0072;-0.0002
RestoreOS: Restore: syscfg_presubmit_fdr;0.0082;0.0083999999999999;-0.0002
RestoreOS: Restore: check_for_restore_log;0.0083999999999999;0.0086;-0.0002
RestoreOS: Restore: check_for_uncollected_logs;0.0078;0.008;-0.0002
RestoreOS: Restore: read_persistent_files;0.6973;0.6951;0.0022
RestoreOS: Restore: unmount_unconditionally;0.0319;0.0325;-0.0006
RestoreOS: Restore: clean_nand;2.9096;2.9166;-0.007
RestoreOS: Restore: clear_nvram;0.0063;0.0089;-0.0026
RestoreOS: Restore: clear_bootpolicy_nvram;0.0224;0.0225;-0.0001
RestoreOS: Restore: format_effaceable_storage;0.0101;0.01;0.0001
RestoreOS: Restore: format_ean_storage;0.0149;0.0149;0.0
RestoreOS: Restore: create_filesystem_partitions;0.0635;0.0645;-0.001
RestoreOS: Restore: update_partitions_for_apfs;0.0145;0.0144;0.0001
