Stage;Max_abnormal(9th loop);Min(2nd loop);Time_Difference(Max-Min)
DFU Mode: Restore;5.4456;3.314;2.1316
DFU Mode: Transitioning;3.0695;3.1164;-0.0469
Recovery: Restore;8.5844;8.5945;-0.0101
Recovery: Transitioning;61.7302;61.8391;-0.1089
RestoreOS: Restore;2437.3538;2419.6857;17.6681
RestoreOS: Transitioning;144.3807;141.7708;2.6099
Total Restore Time;2660.564;2638.32;22.244
RestoreOS: Restore: umask;0.0;0.0001;-0.0001
RestoreOS: Restore: setvbuf;0.0;0.0;0.0
RestoreOS: Restore: set_progress_0;0.0001;0.0001;0.0
RestoreOS: Restore: disable_app_firewall;0.0;0.0001;-0.0001
RestoreOS: Restore: listen_for_log_client;0.0;0.0;0.0
RestoreOS: Restore: create_listen_socket;0.0;0.0001;-0.0001
RestoreOS: Restore: enable_debugger;0.0;0.0;0.0
RestoreOS: Restore: update_root_mount;0.0;0.0001;-0.0001
RestoreOS: Restore: disable_watchdog;0.0001;0.0;0.0001
RestoreOS: Restore: usbcretimer_dfucheck;0.0;0.0001;-0.0001
RestoreOS: Restore: enable_usb;0.0;0.0;0.0
RestoreOS: Restore: config_network_interface;0.0001;0.0001;0.0
RestoreOS: Restore: client_protocol_version;0.0078;0.008;-0.0002
RestoreOS: Restore: copy_restore_options;0.2681;0.27;-0.0019
RestoreOS: Restore: wait_for_debugger;0.0064;0.0064;0.0
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0068;0.0068;0.0
RestoreOS: Restore: network_config_enforce;0.0065;0.0064;0.0001
RestoreOS: Restore: is_host_compatible;0.0117;0.0116;0.0001
RestoreOS: Restore: set_weight_from_options;0.0083999999999999;0.0083;0.0001
RestoreOS: Restore: libauthinstall_callback;0.0089999999999999;0.0091;-0.0001
RestoreOS: Restore: set_device_time;0.0235;0.0236;-0.0001
RestoreOS: Restore: set_display_options;0.0065;0.0066;-0.0001
RestoreOS: Restore: check_for_untethered;0.0065;0.0065;0.0
RestoreOS: Restore: check_battery_voltage;0.0112;0.0112;0.0
RestoreOS: Restore: check_battery_capacity;0.0103;0.0104;-0.0001
RestoreOS: Restore: update_macos_ticket;0.0224;0.0223;0.0001
RestoreOS: Restore: update_ticket;0.0184;0.0186;-0.0002
RestoreOS: Restore: wait_for_storage;0.0489;0.0497;-0.0008
RestoreOS: Restore: update_NAND_firmware;8.9807;8.9907;-0.01
