Log Folder Path;~/Desktop/logs/2025-09-04_17-59-14-0x1810862220011C/archive_20250904_184822;
DFU Mode: Restore;3.4516;
DFU Mode: Transitioning;3.0064;
Recovery: Restore;8.5648;
Recovery: Transitioning;62.4245;
RestoreOS: Restore;2666.5478;
RestoreOS: Transitioning;141.235;
Total Restore Time;2885.23;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0.0002;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0.0001;
RestoreOS: Restore: disable_app_firewall;0;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0.0001;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0.0001;
RestoreOS: Restore: disable_watchdog;0;
RestoreOS: Restore: usbcretimer_dfucheck;0.0001;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0.0001;
RestoreOS: Restore: client_protocol_version;0.0078;
RestoreOS: Restore: copy_restore_options;0.2679;
RestoreOS: Restore: wait_for_debugger;0.0065;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0067;
RestoreOS: Restore: network_config_enforce;0.0066;
RestoreOS: Restore: is_host_compatible;0.0117;
RestoreOS: Restore: set_weight_from_options;0.008399999999999999;
RestoreOS: Restore: libauthinstall_callback;0.008999999999999999;
RestoreOS: Restore: set_device_time;0.0233;
RestoreOS: Restore: set_display_options;0.0066;
RestoreOS: Restore: check_for_untethered;0.0066;
RestoreOS: Restore: check_battery_voltage;0.0112;
RestoreOS: Restore: check_battery_capacity;0.0103;
RestoreOS: Restore: update_macos_ticket;0.0225;
RestoreOS: Restore: update_ticket;0.0186;
RestoreOS: Restore: wait_for_storage;0.0451;
RestoreOS: Restore: update_NAND_firmware;8.9666;
RestoreOS: Restore: clear_remap_variable;0.0112;
RestoreOS: Restore: print_nvram_variables;0.0977;
RestoreOS: Restore: asp_nand_set_writable;0.0074;
RestoreOS: Restore: find_filesystem_partitions;0.1105;
RestoreOS: Restore: verify_storage_for_update;0.007;
RestoreOS: Restore: load_sep_os;2.9264;
RestoreOS: Restore: preload_keys_for_fsck;0.0092;
RestoreOS: Restore: fsck_filesystems;0.0144;
RestoreOS: Restore: mount_system_partition;0.7702;
RestoreOS: Restore: fix_cache_delete;0.0075;
RestoreOS: Restore: clean_update_volume;0.0066;
RestoreOS: Restore: space_checks;0.0074;
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0078;
RestoreOS: Restore: read_previous_os_build_version;0.0069;
RestoreOS: Restore: downgrade_check;0.0064;
RestoreOS: Restore: avoid_nonui_ui_update;0.0066;
RestoreOS: Restore: copy_hardware_info;0.007;
RestoreOS: Restore: fdr_create;2.0088;
RestoreOS: Restore: fdr_save_data;0.0092;
RestoreOS: Restore: sep_attest_qa;0.0073;
RestoreOS: Restore: certify_sep;0.0072;
RestoreOS: Restore: syscfg_presubmit_fdr;0.0083;
RestoreOS: Restore: check_for_restore_log;0.008500000000000001;
RestoreOS: Restore: check_for_uncollected_logs;0.0078;
RestoreOS: Restore: read_persistent_files;0.6924;
RestoreOS: Restore: unmount_unconditionally;0.0309;
RestoreOS: Restore: clean_nand;2.9306;
RestoreOS: Restore: clear_nvram;0.0058;
RestoreOS: Restore: clear_bootpolicy_nvram;0.0229;
RestoreOS: Restore: format_effaceable_storage;0.01;
RestoreOS: Restore: format_ean_storage;0.015;
RestoreOS: Restore: create_filesystem_partitions;0.06320000000000001;
RestoreOS: Restore: update_partitions_for_apfs;0.0145;
RestoreOS: Restore: reload_filesystem_partitions;0.029;
RestoreOS: Restore: format_media;8.7059;
RestoreOS: Restore: find_volumes_after_format;0.0515;
RestoreOS: Restore: provision_mesa;0.0105;
RestoreOS: Restore: prepare_for_system_image;2.5181;
RestoreOS: Restore: init_gigalocker;1.5416;
RestoreOS: Restore: init_permanent_update_volume;1.4881;
RestoreOS: Restore: mount_filesystem;2.002;
RestoreOS: Restore: restore_system_image;0.0107;
RestoreOS: Restore: write_persistent_files;0.0463;
RestoreOS: Restore: perform_short_prepare;0.008399999999999999;
