Log Folder Path;~/Desktop/0820/logs/2025-08-17_16-09-08-0x1810862220011C/archive_20250817_165416;
DFU Mode: Restore;3.3979;
DFU Mode: Transitioning;3.0481;
Recovery: Restore;8.6351;
Recovery: Transitioning;62.4686;
RestoreOS: Restore;2424.3668;
RestoreOS: Transitioning;142.458;
Total Restore Time;2644.375;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0.0001;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0.0001;
RestoreOS: Restore: disable_app_firewall;0;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0;
RestoreOS: Restore: usbcretimer_dfucheck;0.0001;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0.0001;
RestoreOS: Restore: client_protocol_version;0.008;
RestoreOS: Restore: copy_restore_options;0.2685;
RestoreOS: Restore: wait_for_debugger;0.0065;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0067;
RestoreOS: Restore: network_config_enforce;0.0064;
RestoreOS: Restore: is_host_compatible;0.0118;
RestoreOS: Restore: set_weight_from_options;0.0083;
RestoreOS: Restore: libauthinstall_callback;0.0091;
RestoreOS: Restore: set_device_time;0.0234;
RestoreOS: Restore: set_display_options;0.0065;
RestoreOS: Restore: check_for_untethered;0.0067;
RestoreOS: Restore: check_battery_voltage;0.0113;
RestoreOS: Restore: check_battery_capacity;0.0104;
RestoreOS: Restore: update_macos_ticket;0.0231;
RestoreOS: Restore: update_ticket;0.0184;
RestoreOS: Restore: wait_for_storage;0.049;
RestoreOS: Restore: update_NAND_firmware;8.962999999999999;
RestoreOS: Restore: clear_remap_variable;0.0106;
RestoreOS: Restore: print_nvram_variables;0.0668;
RestoreOS: Restore: asp_nand_set_writable;0.0073;
RestoreOS: Restore: find_filesystem_partitions;0.0602;
RestoreOS: Restore: verify_storage_for_update;0.0068;
RestoreOS: Restore: load_sep_os;3.0686;
RestoreOS: Restore: preload_keys_for_fsck;0.0094;
