Log Folder Path;~/Desktop/0820/logs/2025-08-18_10-13-09-0x1810862220011C/archive_20250818_105814;
DFU Mode: Restore;3.3608;
DFU Mode: Transitioning;3.0702;
Recovery: Restore;8.598599999999999;
Recovery: Transitioning;62.2393;
RestoreOS: Restore;2419.6739;
RestoreOS: Transitioning;144.5642;
Total Restore Time;2641.507;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0.0002;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0.0001;
RestoreOS: Restore: disable_app_firewall;0;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0.0001;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0;
RestoreOS: Restore: usbcretimer_dfucheck;0.0001;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0.0001;
RestoreOS: Restore: client_protocol_version;0.008200000000000001;
RestoreOS: Restore: copy_restore_options;0.2685;
RestoreOS: Restore: wait_for_debugger;0.0064;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0068;
RestoreOS: Restore: network_config_enforce;0.0066;
RestoreOS: Restore: is_host_compatible;0.0118;
RestoreOS: Restore: set_weight_from_options;0.008200000000000001;
RestoreOS: Restore: libauthinstall_callback;0.008999999999999999;
RestoreOS: Restore: set_device_time;0.0232;
RestoreOS: Restore: set_display_options;0.0065;
RestoreOS: Restore: check_for_untethered;0.0064;
RestoreOS: Restore: check_battery_voltage;0.0112;
RestoreOS: Restore: check_battery_capacity;0.0105;
RestoreOS: Restore: update_macos_ticket;0.0221;
RestoreOS: Restore: update_ticket;0.0183;
RestoreOS: Restore: wait_for_storage;0.0488;
RestoreOS: Restore: update_NAND_firmware;8.930300000000001;
RestoreOS: Restore: clear_remap_variable;0.0109;
RestoreOS: Restore: print_nvram_variables;0.0745;
RestoreOS: Restore: asp_nand_set_writable;0.003;
RestoreOS: Restore: find_filesystem_partitions;0.0766;
RestoreOS: Restore: verify_storage_for_update;0.007;
RestoreOS: Restore: load_sep_os;2.9209;
RestoreOS: Restore: preload_keys_for_fsck;0.0091;
RestoreOS: Restore: fsck_filesystems;0.0155;
RestoreOS: Restore: mount_system_partition;1.0909;
RestoreOS: Restore: fix_cache_delete;0.0076;
RestoreOS: Restore: clean_update_volume;0.0065;
RestoreOS: Restore: space_checks;0.0072;
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0077;
RestoreOS: Restore: read_previous_os_build_version;0.007;
RestoreOS: Restore: downgrade_check;0.0063;
RestoreOS: Restore: avoid_nonui_ui_update;0.0066;
RestoreOS: Restore: copy_hardware_info;0.007;
RestoreOS: Restore: fdr_create;2.0136;
RestoreOS: Restore: fdr_save_data;0.0095;
RestoreOS: Restore: sep_attest_qa;0.0074;
RestoreOS: Restore: certify_sep;0.007;
RestoreOS: Restore: syscfg_presubmit_fdr;0.008200000000000001;
RestoreOS: Restore: check_for_restore_log;0.008500000000000001;
RestoreOS: Restore: check_for_uncollected_logs;0.0077;
RestoreOS: Restore: read_persistent_files;0.6999;
RestoreOS: Restore: unmount_unconditionally;0.032;
RestoreOS: Restore: clean_nand;2.8531;
RestoreOS: Restore: clear_nvram;0.008999999999999999;
RestoreOS: Restore: clear_bootpolicy_nvram;0.0227;
RestoreOS: Restore: format_effaceable_storage;0.009900000000000001;
RestoreOS: Restore: format_ean_storage;0.0147;
RestoreOS: Restore: create_filesystem_partitions;0.064;
RestoreOS: Restore: update_partitions_for_apfs;0.0146;
RestoreOS: Restore: reload_filesystem_partitions;0.0316;
RestoreOS: Restore: format_media;8.7568;
RestoreOS: Restore: find_volumes_after_format;0.0532;
RestoreOS: Restore: provision_mesa;0.0104;
RestoreOS: Restore: prepare_for_system_image;2.5218;
RestoreOS: Restore: init_gigalocker;1.5268;
RestoreOS: Restore: init_permanent_update_volume;1.5123;
RestoreOS: Restore: mount_filesystem;2.004;
RestoreOS: Restore: restore_system_image;0.0108;
RestoreOS: Restore: write_persistent_files;0.0479;
RestoreOS: Restore: perform_short_prepare;0.0069;
RestoreOS: Restore: fdr_restore_saved_data;0.0341;
RestoreOS: Restore: write_factory_version_plist;0.0115;
RestoreOS: Restore: update_aht;0.1448;
RestoreOS: Restore: fdr_prepare;0.0157;
RestoreOS: Restore: install_stage1_firmware;0.0056;
RestoreOS: Restore: aru_migrate_data;0.009599999999999999;
RestoreOS: Restore: await_provisioning_mesa;0.0119;
RestoreOS: Restore: fdr_recover;13.0579;
RestoreOS: Restore: fdr_auto_challenge_claim;0.0077;
RestoreOS: Restore: send_provisioning_info;0.008999999999999999;
RestoreOS: Restore: certify_lynx;0.1766;
RestoreOS: Restore: write_0cfg;0.0583;
RestoreOS: Restore: update_veridian;0.6877;
RestoreOS: Restore: update_iBoot;9.397600000000001;
RestoreOS: Restore: update_ean;0.5169;
RestoreOS: Restore: update_stockholm;0.0291;
RestoreOS: Restore: update_rose;0.0207;
RestoreOS: Restore: update_se;0.0204;
RestoreOS: Restore: update_tcon;0.0141;
RestoreOS: Restore: update_appletcon;0.0136;
RestoreOS: Restore: update_orion;0.0151;
RestoreOS: Restore: update_madea;0.0124;
RestoreOS: Restore: update_peppy;0.0111;
RestoreOS: Restore: update_nitrogen;0.0128;
RestoreOS: Restore: update_usbc;0.0143;
RestoreOS: Restore: update_centauri;17.9102;
RestoreOS: Restore: await_update_tcon;0.0304;
RestoreOS: Restore: await_update_appletcon;0.0137;
RestoreOS: Restore: await_update_orion;0.0106;
RestoreOS: Restore: await_update_peppy;0.0142;
RestoreOS: Restore: await_update_nitrogen;0.0123;
RestoreOS: Restore: await_update_usbc;0.0123;
RestoreOS: Restore: update_ace3;11.1752;
RestoreOS: Restore: update_usbcretimer;103.2452;
RestoreOS: Restore: update_PFX;0.0742;
RestoreOS: Restore: update_PS190;78.1841;
RestoreOS: Restore: await_update_stockholm;0.0144;
RestoreOS: Restore: await_update_rose;0.0132;
RestoreOS: Restore: await_update_se;0.0112;
RestoreOS: Restore: await_update_update_veridian;0.0114;
RestoreOS: Restore: update_device_firmware;0.0346;
RestoreOS: Restore: certify_yonkers;0.0117;
RestoreOS: Restore: aru_pre_seal_tasks;0.0279;
RestoreOS: Restore: dotara_lock;0.0071;
RestoreOS: Restore: update_syscfg;5.7784;
RestoreOS: Restore: submit_provinfo;0.008999999999999999;
RestoreOS: Restore: verify_fdr_data;6.865;
RestoreOS: Restore: update_rose_postseal;0.07199999999999999;
RestoreOS: Restore: stage_fdr_ean;0.05;
RestoreOS: Restore: ensure_fdr_ean;0.0418;
RestoreOS: Restore: update_fdr_ean;1.0319;
RestoreOS: Restore: update_fillmore;0.01;
RestoreOS: Restore: fdr_verify_sealed_manifest;0.0112;
RestoreOS: Restore: commit_sep_os;4.0953;
RestoreOS: Restore: run_sep_eeprom_test;22.8648;
RestoreOS: Restore: pair_stockholm;0.0091;
RestoreOS: Restore: verify_se_pairing;0.0114;
RestoreOS: Restore: await_system_image_invert_retry;1025.3029;
RestoreOS: Restore: create_protected_filesystems;5.6809;
RestoreOS: Restore: create_volume_group;0.0367;
RestoreOS: Restore: reserve_overprov_space;0.0094;
RestoreOS: Restore: install_regulatory_images;0.9999;
RestoreOS: Restore: read_new_os_build_version;0.0197;
RestoreOS: Restore: install_splat;0.0248;
RestoreOS: Restore: install_root;0.0074;
RestoreOS: Restore: install_overlay_roots;0.1104;
RestoreOS: Restore: install_splat_overlay_roots;0.0147;
RestoreOS: Restore: install_regulatory_images_root;0.0142;
RestoreOS: Restore: install_update_volume_root;0.0113;
RestoreOS: Restore: restored_fixup_system;579.1073;
RestoreOS: Restore: write_ticket;0.0359;
RestoreOS: Restore: fixup_var;0.8246;
RestoreOS: Restore: create_partition_mountpoints;0.0237;
RestoreOS: Restore: factory_restore_marker;0.0117;
RestoreOS: Restore: factory_ucrt;6.1737;
RestoreOS: Restore: factory_mac_check_flag;0.0122;
RestoreOS: Restore: aru_post_seal_tasks;0.0216;
RestoreOS: Restore: factory_sad_config;0.0114;
RestoreOS: Restore: create_production_ucrt;0.0118;
RestoreOS: Restore: create_production_dcrt;0.0104;
RestoreOS: Restore: store_device_time;0.0195;
RestoreOS: Restore: attest_restore;37.4046;
RestoreOS: Restore: set_one_time_boot_command;0.0126;
RestoreOS: Restore: set_nvram_variables;0.0273;
RestoreOS: Restore: persistent_boot_args;0.0181;
RestoreOS: Restore: set_tdm;0.007900000000000001;
RestoreOS: Restore: unprovision_mesa;0.0366;
RestoreOS: Restore: fsck_recovery_volume;1.301;
RestoreOS: Restore: mount_recovery_os_filesystem;0.6651;
RestoreOS: Restore: macos_populate_system_recovery_os;175.1314;
RestoreOS: Restore: restored_install_system_recovery_basesystem_roots;0.0101;
RestoreOS: Restore: preserve_source_boot_objects;33.3804;
RestoreOS: Restore: macos_create_recovery_local_policy;1.638;
RestoreOS: Restore: generate_default_local_policy;1.7976;
RestoreOS: Restore: populate_preboot_volume;4.6521;
RestoreOS: Restore: populate_isc_preboot_volume;0.7578;
RestoreOS: Restore: populate_paired_recovery_volume;124.0502;
RestoreOS: Restore: install_paired_recovery_basesystem_roots;0.0103;
RestoreOS: Restore: bless_system_volume;18.1424;
RestoreOS: Restore: boot_global_signed_centauri;0.0114;
RestoreOS: Restore: set_boot_command;0.008200000000000001;
RestoreOS: Restore: set_bootable;0.0146;
RestoreOS: Restore: seal_system_volume;79.7052;
RestoreOS: Restore: create_system_snapshot;3.8008;
RestoreOS: Restore: install_exclaveos_overlay_roots;0.015;
RestoreOS: Restore: adjust_recovery_mode_output;0.0118;
RestoreOS: Restore: set_autoboot_delay;0.0323;
RestoreOS: Restore: dut_power_settings_handling;0.007;
RestoreOS: Restore: unmount_filesystems;0.0713;
RestoreOS: Restore: cleanup_boot_command;0.0153;
RestoreOS: Restore: cleanup_recovery_os_volume;0.0069;
RestoreOS: Restore: cleanup_check_result;0.0068;
RestoreOS: Restore: cleanup_send_crash_logs;0.009900000000000001;
RestoreOS: Restore: cleanup_send_final_status;0.0587;
RestoreOS: Restore: cleanup_wait_status_received;0.0107;
RestoreOS: Restore: cleanup_write_restore_log;0.0068;
RestoreOS: Restore: cleanup_failure_warning;0.0068;
RestoreOS: Restore: cleanup_post_restore;0.0076;
RestoreOS: Restore: cleanup_release;0.0066;
RestoreOS: Restore: [ASYNC Task]  provision_mesa ;0.0137;
RestoreOS: Restore: [ASYNC Task]  restore_system_image ;1273.0541;
RestoreOS: Restore: [ASYNC Task]  update_veridian ;0.0189;
RestoreOS: Restore: [ASYNC Task]  update_stockholm ;0.5226;
RestoreOS: Restore: [ASYNC Task]  update_rose ;0.0291;
RestoreOS: Restore: [ASYNC Task]  update_tcon ;0.0182;
RestoreOS: Restore: [ASYNC Task]  update_appletcon ;0.0252;
RestoreOS: Restore: [ASYNC Task]  update_orion ;0.0167;
RestoreOS: Restore: [ASYNC Task]  update_peppy ;0.0165;
RestoreOS: Restore: [ASYNC Task]  update_nitrogen ;0.0182;
RestoreOS: Restore: [ASYNC Task]  update_usbc ;0.0147;
RestoreOS: Restore: [ASYNC Task]  update_se ;3.59;
