Log Folder Path;~/Desktop/0820/logs/2025-08-18_14-44-06-0x1810862220011C/archive_20250818_152908;
DFU Mode: Restore;3.3763;
DFU Mode: Transitioning;3.0694;
Recovery: Restore;8.589600000000001;
Recovery: Transitioning;61.7279;
RestoreOS: Restore;2419.618;
RestoreOS: Transitioning;141.982;
Total Restore Time;2638.363;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0.0001;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0;
RestoreOS: Restore: disable_app_firewall;0;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0.0001;
RestoreOS: Restore: usbcretimer_dfucheck;0;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0.0001;
RestoreOS: Restore: client_protocol_version;0.008;
RestoreOS: Restore: copy_restore_options;0.2681;
RestoreOS: Restore: wait_for_debugger;0.0063;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0067;
RestoreOS: Restore: network_config_enforce;0.0065;
RestoreOS: Restore: is_host_compatible;0.0117;
RestoreOS: Restore: set_weight_from_options;0.0083;
RestoreOS: Restore: libauthinstall_callback;0.008999999999999999;
RestoreOS: Restore: set_device_time;0.0234;
RestoreOS: Restore: set_display_options;0.0065;
RestoreOS: Restore: check_for_untethered;0.0066;
RestoreOS: Restore: check_battery_voltage;0.0114;
RestoreOS: Restore: check_battery_capacity;0.0104;
RestoreOS: Restore: update_macos_ticket;0.0221;
RestoreOS: Restore: update_ticket;0.0186;
RestoreOS: Restore: wait_for_storage;0.0487;
RestoreOS: Restore: update_NAND_firmware;8.949400000000001;
RestoreOS: Restore: clear_remap_variable;0.011;
RestoreOS: Restore: print_nvram_variables;0.06660000000000001;
RestoreOS: Restore: asp_nand_set_writable;0.0078;
RestoreOS: Restore: find_filesystem_partitions;0.1203;
RestoreOS: Restore: verify_storage_for_update;0.0069;
RestoreOS: Restore: load_sep_os;2.9246;
RestoreOS: Restore: preload_keys_for_fsck;0.009299999999999999;
RestoreOS: Restore: fsck_filesystems;0.0157;
RestoreOS: Restore: mount_system_partition;1.0794;
RestoreOS: Restore: fix_cache_delete;0.0072;
RestoreOS: Restore: clean_update_volume;0.0066;
RestoreOS: Restore: space_checks;0.0074;
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0077;
RestoreOS: Restore: read_previous_os_build_version;0.0069;
RestoreOS: Restore: downgrade_check;0.0064;
RestoreOS: Restore: avoid_nonui_ui_update;0.0065;
RestoreOS: Restore: copy_hardware_info;0.0069;
RestoreOS: Restore: fdr_create;2.0114;
RestoreOS: Restore: fdr_save_data;0.0103;
RestoreOS: Restore: sep_attest_qa;0.0073;
RestoreOS: Restore: certify_sep;0.007;
RestoreOS: Restore: syscfg_presubmit_fdr;0.0081;
RestoreOS: Restore: check_for_restore_log;0.008500000000000001;
RestoreOS: Restore: check_for_uncollected_logs;0.0078;
RestoreOS: Restore: read_persistent_files;0.6994;
RestoreOS: Restore: unmount_unconditionally;0.0326;
RestoreOS: Restore: clean_nand;2.9493;
RestoreOS: Restore: clear_nvram;0.0073;
RestoreOS: Restore: clear_bootpolicy_nvram;0.0228;
RestoreOS: Restore: format_effaceable_storage;0.009900000000000001;
RestoreOS: Restore: format_ean_storage;0.0151;
RestoreOS: Restore: create_filesystem_partitions;0.06320000000000001;
RestoreOS: Restore: update_partitions_for_apfs;0.0142;
RestoreOS: Restore: reload_filesystem_partitions;0.0313;
RestoreOS: Restore: format_media;8.799200000000001;
RestoreOS: Restore: find_volumes_after_format;0.0537;
RestoreOS: Restore: provision_mesa;0.0105;
RestoreOS: Restore: prepare_for_system_image;2.5281;
RestoreOS: Restore: init_gigalocker;1.5552;
RestoreOS: Restore: init_permanent_update_volume;1.489;
RestoreOS: Restore: mount_filesystem;2.0329;
RestoreOS: Restore: restore_system_image;0.0108;
RestoreOS: Restore: write_persistent_files;0.0457;
RestoreOS: Restore: perform_short_prepare;0.0083;
RestoreOS: Restore: fdr_restore_saved_data;0.0333;
RestoreOS: Restore: write_factory_version_plist;0.0115;
RestoreOS: Restore: update_aht;0.1438;
RestoreOS: Restore: fdr_prepare;0.0158;
RestoreOS: Restore: install_stage1_firmware;0.0078;
RestoreOS: Restore: aru_migrate_data;0.0097;
RestoreOS: Restore: await_provisioning_mesa;0.0112;
RestoreOS: Restore: fdr_recover;13.0315;
RestoreOS: Restore: fdr_auto_challenge_claim;0.0094;
RestoreOS: Restore: send_provisioning_info;0.0091;
RestoreOS: Restore: certify_lynx;0.1764;
RestoreOS: Restore: write_0cfg;0.0559;
RestoreOS: Restore: update_veridian;0.6753;
RestoreOS: Restore: update_iBoot;9.423299999999999;
RestoreOS: Restore: update_ean;0.5141;
RestoreOS: Restore: update_stockholm;0.0276;
RestoreOS: Restore: update_rose;0.0186;
RestoreOS: Restore: update_se;0.0227;
RestoreOS: Restore: update_tcon;0.0122;
RestoreOS: Restore: update_appletcon;0.0127;
RestoreOS: Restore: update_orion;0.0167;
RestoreOS: Restore: update_madea;0.0132;
RestoreOS: Restore: update_peppy;0.0111;
RestoreOS: Restore: update_nitrogen;0.0095;
RestoreOS: Restore: update_usbc;0.0123;
RestoreOS: Restore: update_centauri;20.8513;
RestoreOS: Restore: await_update_tcon;0.0307;
RestoreOS: Restore: await_update_appletcon;0.0145;
RestoreOS: Restore: await_update_orion;0.0132;
RestoreOS: Restore: await_update_peppy;0.0144;
RestoreOS: Restore: await_update_nitrogen;0.0115;
RestoreOS: Restore: await_update_usbc;0.0127;
RestoreOS: Restore: update_ace3;11.2582;
RestoreOS: Restore: update_usbcretimer;103.2445;
RestoreOS: Restore: update_PFX;0.0706;
RestoreOS: Restore: update_PS190;78.2693;
RestoreOS: Restore: await_update_stockholm;0.0125;
RestoreOS: Restore: await_update_rose;0.0117;
RestoreOS: Restore: await_update_se;0.0124;
RestoreOS: Restore: await_update_update_veridian;0.0132;
RestoreOS: Restore: update_device_firmware;0.0363;
RestoreOS: Restore: certify_yonkers;0.0105;
RestoreOS: Restore: aru_pre_seal_tasks;0.0266;
RestoreOS: Restore: dotara_lock;0.008;
RestoreOS: Restore: update_syscfg;7.7836;
RestoreOS: Restore: submit_provinfo;0.0089;
RestoreOS: Restore: verify_fdr_data;6.8799;
RestoreOS: Restore: update_rose_postseal;0.0718;
RestoreOS: Restore: stage_fdr_ean;0.0504;
RestoreOS: Restore: ensure_fdr_ean;0.0438;
RestoreOS: Restore: update_fdr_ean;1.0253;
RestoreOS: Restore: update_fillmore;0.0115;
RestoreOS: Restore: fdr_verify_sealed_manifest;0.0104;
RestoreOS: Restore: commit_sep_os;4.1173;
RestoreOS: Restore: run_sep_eeprom_test;22.955;
RestoreOS: Restore: pair_stockholm;0.008500000000000001;
RestoreOS: Restore: verify_se_pairing;0.007900000000000001;
RestoreOS: Restore: await_system_image_invert_retry;1020.6185;
RestoreOS: Restore: create_protected_filesystems;5.6828;
RestoreOS: Restore: create_volume_group;0.0366;
RestoreOS: Restore: reserve_overprov_space;0.0095;
RestoreOS: Restore: install_regulatory_images;0.9999;
RestoreOS: Restore: read_new_os_build_version;0.0197;
